! Data from Figure 2, {doi}
! First column is velocity in km/s
! Other rows are flux densities in Jy for the corresponding
!     baseline. AUTO is the scalar-averaged, autocorrelated
!     baseline for all telescopes. Effectively nplots=0, 
!     aparm(1)=-1, ante=0, stokes='i' in POSSM/AIPS
!
! VEL    AUTO     Cd-Hb   Cd-Ke   Cd-Wa   Hb-Ke   Hb-Wa   Ke-Wa 
!--------------------------------------------------------------
  -6.10  638.42   42.14   37.68   11.78  121.59   37.13   33.30
  -6.18  637.87   42.04   37.67   11.54  120.91   36.96   33.33
  -6.27  638.21   42.34   37.77   11.48  120.52   37.04   32.89
  -6.36  637.91   41.95   37.67   11.70  121.14   37.16   33.26
  -6.45  638.38   42.40   37.84   11.73  120.90   37.19   33.29
  -6.53  638.68   42.16   37.75   11.73  120.81   37.06   33.09
  -6.62  637.93   42.15   37.78   11.47  121.40   37.07   33.37
  -6.71  638.33   42.13   37.57   11.52  121.70   36.90   33.31
  -6.80  638.49   42.40   37.54   11.65  121.52   36.75   33.33
  -6.89  638.21   41.55   37.66   11.55  120.63   37.04   33.45
  -6.97  638.07   42.05   37.60   11.66  121.20   37.05   33.52
  -7.06  638.87   42.13   37.81   11.66  120.77   37.34   33.32
  -7.15  638.83   42.44   37.91   11.58  120.54   37.08   33.78
  -7.24  638.71   42.10   37.73   11.81  121.30   37.53   33.46
  -7.32  638.89   42.28   37.46   11.81  121.10   36.98   33.55
  -7.41  638.33   42.23   38.23   11.55  120.22   37.11   33.53
  -7.50  638.55   42.37   37.66   11.44  121.77   37.00   33.67
  -7.59  638.46   42.38   37.53   11.46  120.59   37.01   33.07
  -7.68  639.00   42.00   37.34   11.55  120.99   37.32   33.44
  -7.76  639.29   42.05   37.95   11.64  119.96   36.88   33.15
  -7.85  638.71   42.08   37.49   11.49  120.80   37.45   33.05
  -7.94  639.23   42.35   37.58   11.67  120.88   37.19   33.52
  -8.03  639.01   41.96   37.55   11.59  121.11   36.83   33.42
  -8.11  638.93   42.07   37.70   11.71  120.56   37.08   33.04
  -8.20  638.76   41.92   37.46   11.73  119.99   36.93   33.25
  -8.29  638.67   42.25   37.69   11.39  121.35   37.15   32.99
  -8.38  639.11   42.17   38.00   11.82  120.51   37.06   33.08
