! Data for figure 8 {doi}
! Column  1   is spot LoS velocity in km/s
! Columns 2-3 is spot position in mas
! Columns 4-5 is spot velocity in X and Y resp in mas/yr
! Column 6 is spot flux density in Jy
!
!     VEL         X         Y        Vx        Vy       I
!--------------------------------------------------------
  -47.804   -43.390    25.702    -0.231    -0.099    3.50
  -47.804   -43.391    25.701    -0.233    -0.102    3.55
  -47.804   -49.177    36.548     0.021    -0.002    8.01
  -47.892   -43.224    25.698    -0.095    -0.136   12.14
  -47.892   -49.401    36.523    -0.015     0.072    4.91
  -47.980   -43.479    26.002     0.177    -0.405   20.96
  -48.068   -43.712    26.164     0.088    -0.196   20.90
  -48.156   -44.354    26.772    -0.279    -0.230   18.84
  -48.156   -50.766    27.394     0.145    -0.282    7.20
  -48.243   -44.507    26.900    -0.221    -0.402   10.04
  -48.243   -51.116    27.572    -0.008    -0.424   12.83
  -48.243   -52.004    38.914     0.177    -0.205    2.42
  -48.331   -45.065    26.697    -0.133    -0.350    6.51
  -48.331   -50.130    32.938     0.040    -0.098    6.89
  -48.331   -51.341    27.821    -0.032    -0.446    9.54
  -48.331   -51.652    38.856    -0.133    -0.093    3.07
  -48.419   -47.938    31.741    -0.063    -0.227    6.61
  -48.419   -49.992    32.585    -0.060    -0.136   24.44
  -48.507   -48.002    31.690    -0.160    -0.311   23.51
  -48.507   -50.039    32.692    -0.006    -0.271   40.53
  -48.595   -48.057    31.573    -0.150    -0.069   24.49
  -48.595   -50.142    32.838    -0.239    -0.012   53.60
  -48.683   -28.028     9.045     0.062    -0.302    8.91
  -48.683   -50.219    32.989    -0.183    -0.367   42.48
  -48.683   -88.339   109.726    -0.104     0.073    8.14
  -48.683   -88.347   109.389    -0.122     0.071    8.35
  -48.770   -28.119     8.924     0.060    -0.314   14.05
  -48.770   -50.436    33.325    -0.177    -0.390   16.68
  -48.770   -88.514   109.640    -0.093     0.069   21.66
  -48.858   -28.223     8.893     0.077    -0.330   16.01
  -48.858   -88.668   109.602    -0.088     0.103   23.25
  -48.946   -28.356     8.871     0.153    -0.322   18.08
  -48.946   -57.973    41.106    -0.045    -0.248    7.80
  -48.946   -89.009   109.279    -0.035     0.172   13.77
  -49.034   -28.484     8.828     0.195    -0.321   19.83
  -49.034   -65.513    33.233    -0.202    -0.201    9.09
  -49.034   -69.352    45.032    -0.242    -0.058    9.44
  -49.034   -89.195   108.063    -0.080    -0.160   10.84
  -49.034   225.943   235.714     0.412    -0.213    4.25
  -49.122   -28.705     8.821     0.268    -0.301   18.41
  -49.122   -65.469    33.490    -0.198    -0.180   19.00
  -49.122   -69.519    45.373    -0.002    -0.192    7.46
  -49.122   225.758   235.568     0.451    -0.119    5.61
  -49.209   -28.296     8.734     0.338    -0.413    4.94
  -49.209   -30.082     8.989     0.178    -0.214    7.90
  -49.209   -65.482    33.551    -0.229    -0.002   12.95
  -49.209   -73.935    38.325    -0.090    -0.297   12.96
  -49.209   -88.996   106.985    -0.104     0.137   13.95
  -49.209   -89.080   106.912    -0.163     0.048   15.05
  -49.209   -89.944   108.212    -0.340     0.054   10.81
  -49.209   225.575   235.402     0.422    -0.125    5.43
  -49.297   -30.328     8.936     0.133    -0.248    8.33
  -49.297   -74.151    38.391    -0.114    -0.314   17.10
  -49.297   -89.065   106.868    -0.124     0.157   20.53
  -49.297   -89.067   106.868    -0.123     0.157   20.45
  -49.297   -92.916   107.387    -0.061     0.260    7.46
  -49.385   -30.558     8.983     0.055    -0.198    6.39
  -49.385   -74.327    38.445    -0.081    -0.359   10.24
  -49.385   -88.877   106.658    -0.133    -0.009   10.92
  -49.385   -88.880   106.603    -0.126     0.027   10.27
  -49.385   -89.973   108.701    -0.265    -0.103    7.58
  -49.385   -93.125   107.291    -0.110     0.196    7.86
  -49.473   -30.707     8.981    -0.005    -0.176    6.68
  -49.473   -33.081     9.432    -0.059    -0.188    7.41
  -49.473   -56.189    54.609    -0.066    -0.190   10.29
  -49.473   -89.944   109.004    -0.226    -0.120    4.43
  -49.561   -30.585     8.971     0.020    -0.262    5.67
  -49.561   -33.113     9.436    -0.083    -0.339    8.48
  -49.561   -56.697    55.380    -0.071    -0.121   21.75
  -49.649   -12.667    27.439    -0.066    -0.188    8.48
  -49.649   -32.965     9.392    -0.195    -0.433    8.49
  -49.649   -32.983     9.388    -0.194    -0.434    8.96
  -49.649   -56.940    55.686    -0.091    -0.126   32.05
  -49.649   -95.144   108.059    -0.225    -0.141    6.62
  -49.736   -12.690    27.480    -0.073    -0.254   20.75
  -49.736   -32.982     9.360    -0.155    -0.419    6.12
  -49.736   -33.004     9.360    -0.154    -0.419    6.28
  -49.736   -57.049    55.827    -0.118    -0.110   26.13
  -49.736   -95.320   108.122    -0.169    -0.080    6.44
  -49.824   -12.692    27.481    -0.086    -0.228   27.05
  -49.824   -57.081    55.875    -0.100    -0.090    9.33
  -49.824   -77.764    68.474    -0.035     0.061    4.85
  -49.912   -12.716    27.476    -0.056    -0.212   19.71
  -49.912   -12.849    33.543     0.231    -0.241    7.97
  -49.912   -23.972    -1.022    -0.072    -0.192    5.99
  -49.912   -26.073    -9.295     0.011    -0.045   29.26
  -49.912   -77.781    68.460    -0.159     0.210    6.11
  -49.912   -77.967    68.185    -0.060    -0.295    6.25
  -50.000   -12.608    27.579    -0.007    -0.203   10.96
  -50.000   -26.218    -9.086     0.065    -0.482   68.98
  -50.000 - 171.389   224.634    -0.526     0.256    6.10
  -50.088   -25.350    -5.512     0.019    -0.011   51.91
  -50.088   -26.535    -8.918     0.013    -0.043   65.86
  -50.088 - 171.391   224.256    -0.560     0.018    6.08
  -50.175    -0.393     0.610     0.067    -0.107   33.45
  -50.175   -25.444    -5.334    -0.031    -0.108   84.75
