      shex6      PRTAB(31DEC19)    ****               22-OCT-2021   15:20:08               Page    1
S001G_G     .UVDATA.   1  Disk= 1    SN Table version   2
Title: AIPS UV DATA FILE SOLUTION TABLE
 
Created by      FRING on 22-OCT-2021 14:37:36
Last written by Obit  on 22-OCT-2021 15:20:08
Ncol 26  Nrow 153    Sort cols:  1 (ASCEND)  4 (ASCEND)
    Table has     8 keyword-value pairs:
   NO_ANT   =            5
   NO_POL   =            2
   NO_IF    =            8
   NO_NODES =            0
   MGMOD    =  1.0000000000000D+00
   APPLIED  =  F
   REVISION =           11
   SNORIGIN =            0
   Table format incompatable with FITS ASCII tables
 
COL. NO.            1                3              4              9              15             17
     ROW      TIME               SOURCE ID      ANTENNA       MBDELAY1        RATE 1          REFANT 1
  NUMBER      DAYS                                            SECONDS         SEC/SEC
 
       1      6.262809D-01            1             2          0.000E+00       0.000E+00          2
       1                                                                       0.000E+00          2
       1                                                                       0.000E+00          2
       1                                                                       0.000E+00          2
       1                                                                       0.000E+00          2
       1                                                                       0.000E+00          2
       1                                                                       0.000E+00          2
       1                                                                       0.000E+00          2
       2      6.262809D-01            1             3         -2.050E-09       3.310E-14          2
       2                                                                       3.302E-14          2
       2                                                                       3.294E-14          2
       2                                                                       3.286E-14          2
       2                                                                       3.278E-14          2
       2                                                                       3.270E-14          2
       2                                                                       3.262E-14          2
       2                                                                       3.254E-14          2
       3      6.262809D-01            1             4         -7.259E-11       2.418E-16          2
       3                                                                       2.412E-16          2
       3                                                                       2.406E-16          2
       3                                                                       2.400E-16          2
       3                                                                       2.395E-16          2
       3                                                                       2.389E-16          2
       3                                                                       2.383E-16          2
       3                                                                       2.377E-16          2
       4      6.262809D-01            1             5          9.818E-10       1.963E-14          2
       4                                                                       1.958E-14          2
       4                                                                       1.954E-14          2
       4                                                                       1.949E-14          2
       4                                                                       1.944E-14          2
       4                                                                       1.939E-14          2
       4                                                                       1.935E-14          2
       4                                                                       1.930E-14          2
       5      6.286883D-01            2             2          0.000E+00       0.000E+00          2
       5                                                                       0.000E+00          2
       5                                                                       0.000E+00          2
       5                                                                       0.000E+00          2
       5                                                                       0.000E+00          2
      shex6      PRTAB(31DEC19)    ****               22-OCT-2021   15:20:08               Page    2
     ROW      TIME               SOURCE ID      ANTENNA       MBDELAY1        RATE 1          REFANT 1
  NUMBER      DAYS                                            SECONDS         SEC/SEC
 
       5                                                                       0.000E+00          2
       5                                                                       0.000E+00          2
       5                                                                       0.000E+00          2
       6      6.286883D-01            2             3         -1.883E-09       8.296E-14          2
       6                                                                       8.276E-14          2
       6                                                                       8.256E-14          2
       6                                                                       8.236E-14          2
       6                                                                       8.216E-14          2
       6                                                                       8.197E-14          2
       6                                                                       8.177E-14          2
       6                                                                       8.158E-14          2
       7      6.286883D-01            2             4         -3.053E-10       2.641E-14          2
       7                                                                       2.635E-14          2
       7                                                                       2.629E-14          2
       7                                                                       2.622E-14          2
       7                                                                       2.616E-14          2
       7                                                                       2.610E-14          2
       7                                                                       2.603E-14          2
       7                                                                       2.597E-14          2
       8      6.286883D-01            2             5          8.284E-10      -6.796E-14          2
       8                                                                      -6.780E-14          2
       8                                                                      -6.764E-14          2
       8                                                                      -6.747E-14          2
       8                                                                      -6.731E-14          2
       8                                                                      -6.715E-14          2
       8                                                                      -6.699E-14          2
       8                                                                      -6.683E-14          2
       9      6.301351D-01            3             2          0.000E+00       0.000E+00          2
       9                                                                       0.000E+00          2
       9                                                                       0.000E+00          2
       9                                                                       0.000E+00          2
       9                                                                       0.000E+00          2
       9                                                                       0.000E+00          2
       9                                                                       0.000E+00          2
       9                                                                       0.000E+00          2
      10      6.301351D-01            3             3         -1.809E-09       1.790E-14          2
      10                                                                       1.786E-14          2
      10                                                                       1.781E-14          2
      10                                                                       1.777E-14          2
      10                                                                       1.773E-14          2
      10                                                                       1.768E-14          2
      10                                                                       1.764E-14          2
      10                                                                       1.760E-14          2
      11      6.301351D-01            3             4         -2.306E-10       4.764E-15          2
      11                                                                       4.753E-15          2
      11                                                                       4.741E-15          2
      11                                                                       4.730E-15          2
      11                                                                       4.718E-15          2
      11                                                                       4.707E-15          2
      11                                                                       4.696E-15          2
      11                                                                       4.685E-15          2
      12      6.301351D-01            3             5          1.066E-09      -1.490E-13          2
      12                                                                      -1.486E-13          2
      12                                                                      -1.483E-13          2
      12                                                                      -1.479E-13          2
      shex6      PRTAB(31DEC19)    ****               22-OCT-2021   15:20:08               Page    3
     ROW      TIME               SOURCE ID      ANTENNA       MBDELAY1        RATE 1          REFANT 1
  NUMBER      DAYS                                            SECONDS         SEC/SEC
 
      12                                                                      -1.476E-13          2
      12                                                                      -1.472E-13          2
      12                                                                      -1.469E-13          2
      12                                                                      -1.465E-13          2
      13      6.400769D-01            4             2          0.000E+00       0.000E+00          2
      13                                                                       0.000E+00          2
      13                                                                       0.000E+00          2
      13                                                                       0.000E+00          2
      13                                                                       0.000E+00          2
      13                                                                       0.000E+00          2
      13                                                                       0.000E+00          2
      13                                                                       0.000E+00          2
      14      6.400769D-01            4             3         -1.972E-09       9.174E-14          2
      14                                                                       9.151E-14          2
      14                                                                       9.129E-14          2
      14                                                                       9.107E-14          2
      14                                                                       9.085E-14          2
      14                                                                       9.063E-14          2
      14                                                                       9.042E-14          2
      14                                                                       9.020E-14          2
      15      6.400769D-01            4             5          6.651E-10      -1.760E-13          2
      15                                                                      -1.756E-13          2
      15                                                                      -1.752E-13          2
      15                                                                      -1.748E-13          2
      15                                                                      -1.743E-13          2
      15                                                                      -1.739E-13          2
      15                                                                      -1.735E-13          2
      15                                                                      -1.731E-13          2
